Mirex
File,Score,Ref key,Test key
"Carole King/Tapestry/01 I Feel The Earth Move/1-Cminor",1.000000,Key C:minor-general,Key C:minor-general
"Carole King/Tapestry/01 I Feel The Earth Move/2-Eb",1.000000,Key Eb,Key Eb
"Carole King/Tapestry/01 I Feel The Earth Move/3-Cminor",1.000000,Key C:minor-general,Key C:minor-general
"Carole King/Tapestry/01 I Feel The Earth Move/4-Eb",1.000000,Key Eb,Key Eb
"Carole King/Tapestry/01 I Feel The Earth Move/5-Cminor",1.000000,Key C:minor-general,Key C:minor-general
"Carole King/Tapestry/02 So Far Away/1-D",1.000000,Key D,Key D
"Carole King/Tapestry/03 It's Too Late/1-Aminor",0.500000,Key A:minor-general,Key D:minor-general
"Carole King/Tapestry/03 It's Too Late/2-F",1.000000,Key F,Key F
"Carole King/Tapestry/03 It's Too Late/3-Aminor",1.000000,Key A:minor-general,Key A:minor-general
"Carole King/Tapestry/03 It's Too Late/4-F",1.000000,Key F,Key F
"Carole King/Tapestry/03 It's Too Late/5-Aminor",0.000000,Key A:minor-general,Key G
"Carole King/Tapestry/03 It's Too Late/6-F",1.000000,Key F,Key F
"Carole King/Tapestry/03 It's Too Late/7-C",1.000000,Key C,Key C
"Carole King/Tapestry/04 Home Again/1-A",1.000000,Key A,Key A
"Carole King/Tapestry/05 Beautiful/1-Eb",1.000000,Key Eb,Key Eb
"Carole King/Tapestry/05 Beautiful/2-Cminor",1.000000,Key C:minor-general,Key C:minor-general
"Carole King/Tapestry/05 Beautiful/3-Eb",1.000000,Key Eb,Key Eb
"Carole King/Tapestry/05 Beautiful/4-C",0.000000,Key C,Key Ab
"Carole King/Tapestry/05 Beautiful/5-E",1.000000,Key E,Key E
"Carole King/Tapestry/06 Way Over Yonder/1-C",0.000000,Key C,Key Db
"Carole King/Tapestry/06 Way Over Yonder/2-D",0.000000,Key D,Key Eb
"Carole King/Tapestry/07 You've Got A Friend/1-Ab",0.300000,Key Ab,Key F:minor-general
"Carole King/Tapestry/07 You've Got A Friend/2-Fminor",0.300000,Key F:minor-general,Key Ab
"Carole King/Tapestry/07 You've Got A Friend/3-Ab",1.000000,Key Ab,Key Ab
"Carole King/Tapestry/07 You've Got A Friend/4-Fminor",0.300000,Key F:minor-general,Key Ab
